Marca,Modelo,Tipo,Proveedor,Precio Compra,Precio Venta
SAMSUNG,Galaxy J720 Duos,OLED,JA,160,300
SAMSUNG,Galaxy J8,INCELL,JA,95,230
SAMSUNG,Galaxy J8,OLED,JA,220,320
SAMSUNG,Galaxy M10,OLED,JA,100,260
SAMSUNG,Galaxy M21,OLED,JA,240,440
SAMSUNG,Galaxy M30,OLED,JA,240,440
SAMSUNG,Galaxy M31,INCELL,JA,115,260
SAMSUNG,Galaxy M31,OLED,JA,240,440
SAMSUNG,Galaxy M51,OLED,JA,140,340
SAMSUNG,Galaxy M52 4G,OLED,JA,450,650
SAMSUNG,Galaxy S22 Ultra,OLED,JA,1200,1400
SAMSUNG,Galaxy S23 Ultra,OLED,JA,1200,1400
SAMSUNG,Galaxy S4,INCELL,JA,110,260
SAMSUNG,Galaxy S5,INCELL,JA,110,260
SONY,Xperia C3,OLED,JA,110,260
SONY,Xperia C5 Ultra,OLED,JA,130,330
SONY,Xperia M4,OLED,JA,100,260
SONY,Xperia XA,OLED,JA,90,230
SONY,Xperia XA1,OLED,JA,90,230
SONY,Xperia XA1 Ultra,OLED,JA,180,380
SONY,Xperia XA2 Ultra,OLED,JA,160,360
SONY,Xperia XA Ultra,OLED,JA,140,340
SONY,Xperia Z1,OLED,JA,90,230
SONY,Xperia Z1 Mini,OLED,JA,90,230
SONY,Xperia Z1s,OLED,JA,90,230
SONY,Xperia Z2,OLED,JA,90,230
SONY,Xperia Z3 Mini,OLED,JA,90,230
SONY,Xperia Z3,OLED,JA,100,260
SONY,Xperia Z4,OLED,JA,110,260
SONY,Xperia Z5,OLED,JA,110,260
SONY,Xperia Z5 Premium,OLED,JA,120,260
TECNO,Camon 19,OLED,JA,105,260
TECNO,Camon 19 Pro,OLED,JA,350,550
TECNO,Camon 20,OLED,JA,105,260
TECNO,Camon 20,INCELL,JA,120,260
TECNO,Camon 20 Pro,OLED,JA,290,490
TECNO,Camon 30s,INCELL,JA,170,320
TECNO,Camon 15,OLED,JA,100,260
TECNO,Camon 15 Pro,OLED,JA,100,260
TECNO,Camon 16,OLED,JA,95,230
TECNO,Camon 16 Premier,OLED,JA,100,260
TECNO,Camon 16 Pro Premier,OLED,JA,100,260
TECNO,Camon 17,OLED,JA,100,260
TECNO,Camon 17 Pro,OLED,JA,115,260
TECNO,Camon 17P,OLED,JA,115,260
TECNO,Camon 18,OLED,JA,105,260
TECNO,Camon 18 Pro,OLED,JA,105,260
TECNO,Camon 18 Premier,OLED,JA,105,260
TECNO,Camon 18P,OLED,JA,105,260
TECNO,Pop 4,OLED,JA,90,230
TECNO,Pop 4 Air,OLED,JA,100,260
TECNO,Pop 4 Lite,OLED,JA,100,260
TECNO,Pop 5,OLED,JA,95,230
TECNO,Pop 5 Lite,OLED,JA,90,230
TECNO,Pop 6,OLED,JA,95,230
TECNO,Pop 6 Pro,OLED,JA,90,230
TECNO,Pop 7,OLED,JA,90,230
TECNO,Pop 7 Pro,OLED,JA,90,230
TECNO,Pop 9,OLED,JA,95,230
TECNO,Pova,OLED,JA,95,230
TECNO,Pova 2,OLED,JA,115,260
TECNO,Pova 3,OLED,JA,115,260
TECNO,Pova 4,OLED,JA,105,260
TECNO,Pova 4 Pro,INCELL,JA,125,270
TECNO,Pova 5,OLED,JA,105,260
TECNO,Pova 6,OLED,JA,125,320
TECNO,Pova 7,OLED,JA,125,320
TECNO,Pova Neo,OLED,JA,95,230
TECNO,Pova Neo 2,OLED,JA,105,260
TECNO,Spark 10,OLED,JA,105,260
TECNO,Spark 10 Pro,OLED,JA,105,260
TECNO,Spark 10C,OLED,JA,90,230
TECNO,Spark 20,OLED,JA,100,260
TECNO,Spark 20 Pro,OLED,JA,105,260
TECNO,Spark 20C,OLED,JA,100,260
TECNO,Spark 30 4G,OLED,JA,115,260
TECNO,Spark 30 5G,OLED,JA,100,260
TECNO,Spark 30 Pro,INCELL,JA,130,280
TECNO,Spark 30C,OLED,JA,100,260
TECNO,Spark 5,OLED,JA,95,230
TECNO,Spark 5 Air,OLED,JA,85,220
TECNO,Spark 6,OLED,JA,95,230
TECNO,Spark 6 Go,OLED,JA,85,220
TECNO,Spark 6i,OLED,JA,100,260
TECNO,Spark 7,OLED,JA,90,230
TECNO,Spark 7 Pro,OLED,JA,100,260
TECNO,Spark 7T,INCELL,JA,90,230
TECNO,Spark 8,OLED,JA,85,220
TECNO,Spark 8C,OLED,JA,90,230
TECNO,Spark 8P,OLED,JA,90,230
TECNO,Spark 8T,OLED,JA,90,230
TECNO,Spark 9T,OLED,JA,90,230
TECNO,Spark Go 2023,OLED,JA,90,230
TECNO,Spark Go 2024,OLED,JA,100,260
TECNO,Spark 6 Go 2022,OLED,JA,90,230
TECNO,Spark Go 1,OLED,JA,95,230
VIVO,Y20,OLED,JA,100,260
VIVO,Y20i,OLED,JA,100,260
XIAOMI,F4,INCELL,JA,125,270
XIAOMI,Mi 10 Lite,OLED,JA,190,390
XIAOMI,Mi 10T,INCELL,JA,140,290
XIAOMI,Mi 11 Lite,INCELL,JA,130,280
XIAOMI,Mi 11 Lite,OLED,JA,290,490
XIAOMI,Mi 11T,OLED,JA,140,300
XIAOMI,Mi 6,OLED,JA,140,300
XIAOMI,Mi 8,OLED,JA,150,300
XIAOMI,Mi 8 Lite,OLED,JA,105,270
XIAOMI,Mi 8 Pro,OLED,JA,210,410
XIAOMI,Mi 9,OLED,JA,210,410
XIAOMI,Mi 9 Lite,OLED,JA,220,420
XIAOMI,Mi 9T,INCELL,JA,115,260
