Marca,Modelo,Tipo,Proveedor,Precio Compra,Precio Venta
TECNO,Spark 7 pro,LCD,MR PANTALLA,100,250
TECNO,Camon 17p,LCD,MR PANTALLA,105,255
TECNO,Camon 17 Pro,LCD,MR PANTALLA,105,255
TECNO,Camon 18,LCD,MR PANTALLA,105,260
TECNO,Camon 18p,LCD,MR PANTALLA,105,260
TECNO,Camon 19 Neo,LCD,MR PANTALLA,105,260
TECNO,Camon 20 Pro,INCELL,MR PANTALLA,115,260
TECNO,GT 20 Pro,OLED,MR PANTALLA,400,610
TECNO,Zero X Neo,LCD,MR PANTALLA,105,260
TECNO,Zero 30 5G,OLED,MR PANTALLA,480,690
TECNO,Zero 40,INCELL,MR PANTALLA,160,310
TECNO,Zero 40,OLED,MR PANTALLA,490,700
TECNO,Hot 10 Play,LCD,MR PANTALLA,100,250
TECNO,Hot 11s,LCD,MR PANTALLA,105,255
TECNO,Hot 11 Play,LCD,MR PANTALLA,100,250
TECNO,Hot 12 Play,LCD,MR PANTALLA,100,250
TECNO,Hot 20s,LCD,MR PANTALLA,105,260
TECNO,Hot 30 Play,LCD,MR PANTALLA,100,250
XIAOMI,Redmi A1,LCD,MR PANTALLA,90,240
XIAOMI,Redmi A2,LCD,MR PANTALLA,90,240
XIAOMI,Redmi A3,LCD,MR PANTALLA,95,245
XIAOMI,Redmi A3X,LCD,MR PANTALLA,95,240
XIAOMI,Redmi A5,LCD,MR PANTALLA,100,250
XIAOMI,Redmi 9,LCD,MR PANTALLA,90,240
XIAOMI,Redmi 9A,LCD,MR PANTALLA,90,240
XIAOMI,Redmi 9C,LCD,MR PANTALLA,90,240
XIAOMI,Redmi 9T,LCD,MR PANTALLA,90,240
XIAOMI,Poco M3,LCD,MR PANTALLA,90,240
XIAOMI,Redmi 10A,LCD,MR PANTALLA,90,240
XIAOMI,Redmi 10 4G,LCD,MR PANTALLA,105,250
XIAOMI,Redmi 10 5G,LCD,MR PANTALLA,105,250
XIAOMI,Redmi 10C,LCD,MR PANTALLA,90,240
XIAOMI,Redmi 12,LCD,MR PANTALLA,100,250
XIAOMI,Redmi 12C,LCD,MR PANTALLA,95,240
XIAOMI,Redmi 13C,LCD,MR PANTALLA,90,240
XIAOMI,Redmi 14C,LCD,MR PANTALLA,100,250
XIAOMI,Redmi 15C,LCD,MR PANTALLA,110,260
XIAOMI,Poco X3,LCD,MR PANTALLA,105,255
XIAOMI,Poco X3 Pro,LCD,MR PANTALLA,105,260
XIAOMI,Poco X3 GT,LCD,MR PANTALLA,105,260
XIAOMI,Poco F3,INCELL,MR PANTALLA,120,270
XIAOMI,Poco F3 Pro,INCELL,MR PANTALLA,120,270
XIAOMI,Poco F4,INCELL,MR PANTALLA,120,270
XIAOMI,Poco F6 Pro,INCELL,MR PANTALLA,160,320
XIAOMI,K70,INCELL,MR PANTALLA,160,310
XIAOMI,K70 Pro,INCELL,MR PANTALLA,160,310
XIAOMI,Mi 9T,INCELL,MR PANTALLA,115,265
XIAOMI,Mi 9T Pro,INCELL,MR PANTALLA,115,265
XIAOMI,Mi 11 T,INCELL,MR PANTALLA,120,270
XIAOMI,Mi 11 T Pro,INCELL,MR PANTALLA,120,270
XIAOMI,Mi 12,OLED,MR PANTALLA,550,790
XIAOMI,Mi 12s,OLED,MR PANTALLA,550,790
XIAOMI,Mi 12X,OLED,MR PANTALLA,550,790
XIAOMI,Mi 14T,INCELL,MR PANTALLA,180,350
XIAOMI,Mi 14 T Pro,INCELL,MR PANTALLA,180,350
XIAOMI,Note 7,LCD,MR PANTALLA,90,240
XIAOMI,Note 8,LCD,MR PANTALLA,90,240
XIAOMI,Note 8 Pro,LCD,MR PANTALLA,90,240
XIAOMI,Note 9,LCD,MR PANTALLA,95,250
XIAOMI,Note 9 Pro,LCD,MR PANTALLA,95,250
XIAOMI,Note 9 S,LCD,MR PANTALLA,95,250
XIAOMI,Note 10 4G,LCD,MR PANTALLA,100,250
XIAOMI,Note 10s 4G,LCD,MR PANTALLA,100,270
XIAOMI,Note 11 4G,LCD,MR PANTALLA,110,270
XIAOMI,Note 11s 4G,LCD,MR PANTALLA,110,270
XIAOMI,Note 12s,LCD,MR PANTALLA,110,270
XIAOMI,Note 12 4G,LCD,MR PANTALLA,120,270
XIAOMI,Note 13 4G,LCD,MR PANTALLA,115,270
XIAOMI,Note 14 4G,LCD,MR PANTALLA,115,270
XIAOMI,Note 10 Pro,INCELL,MR PANTALLA,110,270
XIAOMI,Note 11 Pro Plus,INCELL,MR PANTALLA,110,270
XIAOMI,Note 12 Pro,INCELL,MR PANTALLA,110,270
XIAOMI,Note 12 Pro Plus 5G,INCELL,MR PANTALLA,120,270
XIAOMI,Poco X5 Pro 5G,INCELL,MR PANTALLA,120,270
XIAOMI,Poco X4 Pro,INCELL,MR PANTALLA,110,260
XIAOMI,Poco X7 Pro,OLED,MR PANTALLA,320,630
ZTE,A7s,LCD,MR PANTALLA,110,260
ZTE,A34,LCD,MR PANTALLA,90,240
ZTE,A54,LCD,MR PANTALLA,90,240
ZTE,A51,LCD,MR PANTALLA,110,260
ZTE,A71,LCD,MR PANTALLA,110,260
ZTE,A52,LCD,MR PANTALLA,110,260
ZTE,A72,LCD,MR PANTALLA,110,260
ZTE,A35,LCD,MR PANTALLA,110,260
ZTE,A55,LCD,MR PANTALLA,110,260
ZTE,A35E,LCD,MR PANTALLA,120,270
ZTE,V20 Smart,LCD,MR PANTALLA,110,260
ZTE,V30 Vita,LCD,MR PANTALLA,110,260
ZTE,V50 Desing,LCD,MR PANTALLA,110,260
ZTE,V50 Smart,LCD,MR PANTALLA,110,260
ZTE,V60,LCD,MR PANTALLA,140,290
ZTE,V60 Smart,LCD,MR PANTALLA,110,260
ZTE,V70,LCD,MR PANTALLA,120,270
ZTE,V70 Desing,LCD,MR PANTALLA,120,270
ZTE,V70 Smart,LCD,MR PANTALLA,120,270
ZTE,V70 Vita,LCD,MR PANTALLA,120,270
ZTE,V70 Max,LCD,MR PANTALLA,130,280
ZTE,Music 2,LCD,MR PANTALLA,120,270
ZTE,Neo 3 5G,LCD,MR PANTALLA,150,300
